NOM_ENT,LONGITUD_DECIMAL,LATITUD_DECIMAL
JAL,-103.5652778,20.22861111
NAY,-104.9005972,21.23752972
JAL,-103.4252778,20.28444444
PUE,-98.26732,19.07183667
VER,-96.37138944,19.36683028
JAL,-103.2705556,20.47861111
CHIS,-92.47259722,16.54151389
CHIH,-105.8874739,28.59450333
NAY,-105.3601842,22.4893875
QRO,-100.4152225,20.55255167
MEX,-98.9133475,19.55933917
QROO,-86.84748083,21.08811833
MEX,-99.67050083,19.22387889
SIN,-106.8927117,23.91540389
PUE,-98.46599306,19.28933389
PUE,-97.64274972,19.13474528
CHIS,-93.10479389,16.62195806
MEX,-99.14560889,19.61441806
PUE,-98.04860583,18.20230139
MEX,-99.67582278,18.84460556
VER,-97.68625167,21.3469025
CHIS,-92.89160583,15.44113417
OAX,-96.135075,15.76475889
QROO,-86.87617722,20.8484525
PUE,-97.81310361,18.94678833
TLAX,-98.19235139,19.24439444
JAL,-103.25,19.67638889
CHIS,-92.16811028,14.98978861
MOR,-98.86814361,18.88341972
MOR,-98.75407861,18.50240639
BC,-115.1030658,32.28849833
TLAX,-98.19496167,19.277355
QRO,-100.3424717,20.65284778
CHIS,-92.33394417,17.17391
OAX,-97.68049167,17.26746972
BC,-115.9319467,30.52598056
AGS,-102.2726783,22.07239306
JAL,-104.5629978,19.23834333
MEX,-99.06764528,19.70656556
MEX,-98.90916111,19.21729472
MEX,-98.96156639,19.60229472
MEX,-99.00014528,19.65836417
DGO,-104.12366,24.44643333
JAL,-102.7097169,20.29449972
TAM,-99.02610917,26.40101778
SLP,-101.715735,22.628015
MEX,-98.79538944,19.03917694
PUE,-97.96661694,19.07730222
MOR,-99.16266222,18.63003
PUE,-98.23579278,19.14296194
MEX,-98.9671425,19.71020722
GRO,-99.09738389,16.96528694
CHIS,-93.20931694,15.69167361
CDMX,-99.02337194,19.19124944
MEX,-99.62563861,19.35578028
PUE,-97.68772611,19.4647325
MICH,-101.7093939,19.20780722
NAY,-105.2060444,21.80833583
TLAX,-98.11920111,19.61488944
TAB,-92.86249278,18.13536694
DGO,-103.9877778,23.73111111
VER,-95.74475972,18.37173444
PUE,-97.24541306,18.33326833
MEX,-98.90850361,19.5903125
ZAC,-103.3058133,21.78304167
PUE,-98.38214361,19.21000694
YUC,-89.01971472,20.9329975
JAL,-103.3080556,20.43027778
MOR,-99.18104361,18.61656639
MEX,-98.88091556,19.10191194
VER,-95.52322194,18.62819972
HGO,-99.18935889,20.24819528
CDMX,-99.07314917,19.187285
MEX,-99.77375778,19.27673611
MICH,-102.4161883,19.52072694
COAH,-101.4241111,27.89025806
HGO,-98.78939028,20.02040889
GRO,-99.33430306,18.30598
OAX,-95.04214944,16.87788944
YUC,-87.93732806,20.65501639
CHIS,-92.15094222,14.67945222
TLAX,-98.10405222,19.44141556
HGO,-98.35700639,20.03919306
CHIH,-107.0693617,26.8191525
PUE,-97.63485278,18.90271667
HGO,-99.31722222,20.05722222
MICH,-102.8437078,19.19136667
NL,-100.4024678,25.81853611
MEX,-99.76839528,19.29339694
PUE,-98.10403222,19.08732278
TLAX,-98.23626778,19.27818361
MOR,-99.1795125,18.69915528
JAL,-103.3983333,20.50416667
BC,-114.8389014,31.02292028
MEX,-99.41373611,19.18438667
SIN,-105.8537567,22.99087417
MEX,-99.56933583,19.16409944
ZAC,-102.3660378,22.73538917
JAL,-103.975,20.70055556
SIN,-106.2199639,23.18864278
MICH,-100.8275831,19.86027472
JAL,-103.9761111,20.90638889
VER,-96.22873583,19.2126
CDMX,-99.08995417,19.19198833
MICH,-101.9548161,19.68765167
OAX,-96.76256167,17.10080667
ZAC,-102.847165,21.36325333
PUE,-98.30807361,19.13110222
QRO,-99.89840556,20.665295
OAX,-96.75058833,16.95071778
VER,-96.13479694,18.24092194
MICH,-101.6397978,19.40608472
MOR,-99.15392083,18.88468806
MICH,-102.1298797,19.41664389
MEX,-99.34901639,19.62275583
TAB,-93.06259667,18.1768475
OAX,-96.67506444,16.79164056
JAL,-103.1422283,20.56745667
MEX,-99.0803375,19.73986639
SLP,-98.77516083,22.00414667
JAL,-103.8241667,20.3675
QRO,-100.4507647,20.52800639
GRO,-100.6323778,17.22260861
PUE,-97.44185333,18.55315528
NL,-100.1324361,27.24064722
HGO,-98.55366167,19.78567389
VER,-97.04642056,19.07289833
JAL,-103.0391667,20.15861111
BCS,-111.3433333,26.01277778
VER,-97.051625,20.05597639
JAL,-103.4405556,20.58166667
NAY,-105.3394508,20.75621972
CHIS,-92.56513528,16.33961722
GTO,-101.9527903,20.72751806
MEX,-99.16376806,19.68816917
NL,-100.4468944,25.97565
MEX,-98.83364944,19.2733475
CAMP,-90.05073944,20.37122611
PUE,-98.28488889,19.13368694
OAX,-96.70145861,16.93309667
OAX,-97.22519861,17.45893639
VER,-97.30868167,19.80596611
OAX,-96.78059111,16.99600139
VER,-95.30175361,18.46564278
SLP,-100.2795967,22.42766611
VER,-94.54547111,18.15292
JAL,-102.5922222,20.82694444
MEX,-99.32599639,19.41764083
JAL,-102.5852778,21.67444444
VER,-97.10946444,18.88272694
MEX,-98.85376139,19.27378833
COAH,-100.8496225,25.45062056
JAL,-103.6913889,20.71083333
QRO,-99.81563306,20.69502333
VER,-95.40135389,17.99400361
MEX,-99.46017583,19.32710139
GTO,-101.2757914,20.96659083
VER,-97.84080972,22.20423472
QRO,-100.4283322,20.76317278
MEX,-99.07080389,19.66237389
VER,-97.70373861,20.20024639
MICH,-102.2084533,19.88823444
OAX,-97.43777361,16.01371944
COL,-103.9649972,18.93707278
SLP,-99.642505,22.00090444
MEX,-99.09087444,19.83428944
VER,-97.537945,20.71667222
GTO,-101.6703858,20.62647833
OAX,-96.479215,16.95562389
ZAC,-102.9758342,21.63223917
JAL,-103.1858056,20.42137222
MICH,-101.5240036,19.66378611
CHIS,-93.1177675,17.50855083
MEX,-99.2057575,19.88858528
MEX,-99.17416278,19.97532472
MEX,-98.81869528,19.25596806
JAL,-103.2647222,22.11722222
VER,-94.96010889,17.88096944
VER,-96.19983111,19.15226
PUE,-98.10432167,19.1499225
GTO,-100.4953917,20.56052806
