LONGITUD_DECIMAL,LATITUD_DECIMAL
-102.3629469,21.89325861
-102.2282292,21.77582194
-102.1838742,21.99875694
-102.3533553,21.89258611
-102.3621294,21.83225694
-102.3429119,21.84266694
-102.2468492,21.79917528
-102.2503222,21.80068639
-102.3618828,21.89357139
-102.3372542,21.89128806
-102.2423375,21.95103611
-102.1819767,21.9518275
-102.3503233,21.79363333
-102.2483825,21.79813806
-102.2278636,21.75958639
-102.2266908,21.78384528
-102.3564761,21.90133167
-102.2522061,21.781055
-102.2740433,21.94419167
-102.1298644,21.72648611
-102.1347678,21.72556056
-102.3127697,21.63628306
-102.2329897,21.77313028
-102.2288489,21.95509778
-102.3743681,21.86053556
-102.2421694,21.84359611
-102.3627658,21.8164075
-102.1407556,21.78194694
-102.3147544,21.80081472
-102.3745061,21.88797583
-102.3076517,21.82463361
-102.3708478,21.86475833
-102.3621847,21.90862111
-102.2291681,21.77962389
-102.2298361,21.77650222
-102.3319069,21.90476583
-102.3264317,21.80381917
-102.2385161,21.84483722
-102.3483978,21.89259944
-102.3488256,21.90012694
-102.3639842,21.89382778
-102.2022061,22.00687917
-102.1986433,21.83170139
-102.2014936,21.82538222
-102.1920939,21.81514083
-102.3308817,21.87878639
-102.2714664,21.92668917
-102.3762153,21.88587806
-102.3630931,21.86897611
-102.3831119,21.88868833
-102.3677475,21.85310972
-102.3509286,21.84945694
-102.1954119,21.94285111
-102.3435922,21.84116722
-102.3538553,21.86450667
-102.2686892,21.76140389
-102.2479172,21.81586944
-102.3669578,21.88118972
-102.3680689,21.88824
-102.3481378,21.71135917
-102.2215283,21.95710528
-102.2599475,21.83722583
-102.1502858,21.76916417
-102.165565,21.99491611
-102.3605475,21.85576056
-102.2682047,21.75860361
-102.1188822,22.03297361
-102.2869342,21.68597278
-102.3639883,21.91146472
-102.3516519,21.89878056
-102.2152414,21.95355306
-102.2735278,21.74809056
-102.39699,21.67941083
-102.3732353,21.86965361
-102.3711553,21.84701056
-102.2138728,21.90167917
-102.1224731,21.760345
-102.2284794,21.86674139
-102.1381736,21.76
-102.2138272,21.81850889
-102.2504792,21.78154972
-102.1661889,21.94401333
-102.2268719,21.86373806
-102.1944525,21.8878275
-102.3865758,21.89016583
-102.3766222,21.85985917
-102.3745789,21.875665
-102.3811017,21.72650722
-102.3567689,21.90025944
-102.2399383,21.78899361
-102.4030825,21.88263556
-102.3477778,21.7985925
-102.2404053,21.92607139
-102.1693867,21.99200417
-102.3383992,21.88614972
-102.4011442,21.87777389
-102.2274233,21.78944194
-102.3534189,21.85111472
-102.3459244,21.82920417
-102.0951675,21.79600528
-102.4546942,21.69781389
-102.3258992,21.6224625
-102.149305,21.70523639
-102.3269714,21.69717111
-102.1257353,21.99535639
-102.3423539,21.67928917
-102.129545,22.04461111
-102.1829725,21.85476444
-102.1990606,21.93134167
-102.195045,21.86246611
-102.1193908,22.04589056
-102.1683522,21.99616333
-102.2509317,21.92235806
-102.2782189,21.94976861
-102.2371953,21.90769806
-102.2840517,21.78038722
-102.2763247,21.95646278
-102.2385492,21.84676667
-102.2079056,21.88988889
-102.3880422,21.7278975
-102.3859044,21.89913028
-102.3648175,21.735745
-102.3841489,21.7737175
-102.1970861,21.8910725
-102.3511781,21.87864111
-102.3546511,21.78520667
-102.3377242,21.90410417
-102.4057342,21.74043972
-102.3582433,21.89581556
-102.3897075,21.72776528
-102.3812883,21.79173139
-102.1977144,21.80691444
-102.3657567,21.8438975
-102.3273389,21.70230194
-102.1666061,21.73173139
-102.2360589,21.75300333
-102.3732619,21.7292825
-102.1970303,21.89655472
-102.3616306,21.91423694
-102.3760936,21.90313139
-102.190895,21.84094528
-102.1872114,21.84245778
-102.2241264,21.88615472
-102.3542297,21.639705
-102.3589914,21.73393
-102.3689172,21.71941583
-102.1482097,22.00426278
-102.191845,21.99650833
-102.1736111,22.00082083
